Application,Bitstream,MemoryReader,AverageCalculator,SpikeDetector,MemoryWriter,MR Buffers,MW Buffers,MR BatchSize,MW BatchSize,Sampling,TupleSent,BatchesSent,TuplesReceived,BatchesReceived,Throughput MR (t/s),Throughput MR (B/s),Throughput MW (t/s),Throughput MW (B/s),Time (ms),Time Compute (ns),Samples,Total,Mean,0 (us),5 (us),25 (us),50 (us),75 (us),95 (us),100 (us)
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,1024,1024,1024,4599744512,4491938,358068,350,76662029,1226592464,5967,95472,63717,60000296569,61441,358068,160998,90974,121726,140695,153931,183382,212115,228918
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,2048,2048,1024,9106157568,4446366,714080,349,151768608,2428297728,11901,190416,60589,60000270664,61441,714080,165109,106648,151872,160808,165485,170325,177444,196663
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,4096,4096,1024,12698152960,3100135,982401,240,211634777,3386156432,16373,261968,60592,60000313455,61441,982401,242547,196506,230698,237144,242352,247282,256073,290625
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,8192,8192,1024,15544074240,1897470,1202502,147,259065813,4145053008,20041,320656,60694,60000484096,61441,1202502,398206,308720,389114,393316,398605,403813,408028,415934
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,16384,16384,1024,16883318784,1030476,1305780,80,281384331,4502149296,21762,348192,60660,60000919976,61442,1305780,733744,501512,719324,726603,735524,744456,751594,760741
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,32768,32768,1024,17350819840,529505,1341941,41,289172727,4626763632,22365,357840,60684,60001577606,61442,1341941,1430945,1332832,1400847,1414580,1431702,1448913,1462629,1469789
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,65536,65536,1024,17614766080,268780,1362358,21,293566691,4697067056,22704,363264,60649,60002604429,61443,1362358,2800262,2173062,2759537,2786535,2820388,2854207,2881227,2894013
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,1024,1024,1024,8106946560,7916940,169029125,165069,135115210,2161843360,2817140,45074240,64638,60000250990,122882,84452448,1699,130,269,688,1394,2377,3445,42401
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,2048,2048,1024,13403097088,6544481,151425619,73939,223383678,3574138848,2523745,40379920,61012,60000342048,122882,75699369,2165,411,807,1555,2017,2665,4061,8295
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,4096,4096,1024,24822030336,6060066,201750084,49256,413697908,6619166528,3362480,53799680,61120,60000376647,122882,100866357,22990,1060,1249,1653,3145,6363,188865,338517
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,8192,8192,1024,28899696640,3527795,149023925,18192,481656963,7706511408,2483708,39739328,61032,60000578938,122883,74509948,126062,1493,2892,3954,6822,310615,482103,624470
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,16384,16384,1024,31953698816,1950299,84813080,5178,532554293,8520868688,1413531,22616496,61036,60000828451,122883,42407031,292152,6033,6320,25811,56973,524387,1092550,1158040
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,32768,32768,1024,33683603456,1027942,30927611,944,561377635,8982042160,515445,8247120,61045,60001683917,122884,15463817,865005,13123,15174,142105,898143,1412725,1804572,1962243
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,65536,65536,1024,34570567680,527505,192682835,2942,576156118,9218497888,3211269,51380304,61038,60002083713,122886,96341045,368431,3278,27636,31842,32149,58001,1853852,1938461
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,1024,1024,1024,12887587840,12585535,355670157,347335,214791838,3436669408,5927800,94844800,65942,60000360868,184403,118573847,8890,202,344,584,699,1148,82602,185235
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,2048,2048,1024,23981154304,11709548,359693664,175634,399683532,6394936512,5994858,95917728,61441,60000356114,184324,119896416,2510,515,749,899,1189,1783,5627,102048
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,4096,4096,1024,32999538688,8056528,322349145,78699,549988433,8799814928,5372447,85959152,61455,60000423074,184325,107450104,2813,1252,1665,1910,2529,3215,4466,11566
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,8192,8192,1024,43338293248,5290319,421131262,51408,722295666,11556730656,7018764,112300224,61476,60000766003,184325,140376613,57784,1784,2429,2688,3543,5040,441477,503637
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,16384,16384,1024,42767286272,2610308,213426601,13029,712775507,11404408112,3557047,56912752,61498,60001060417,184327,71141041,324834,4109,5442,5776,289236,737501,839298,865058
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,32768,32768,1024,44504350720,1358165,641766755,19587,741719725,11867515600,10695832,171133312,61453,60001573587,184327,213920185,10557,3795,7939,9236,10365,11674,13546,21812
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,65536,65536,1024,46182105088,704683,706695445,10785,769666337,12314661392,11777715,188443440,61426,60002760762,184331,235566256,19974,7628,14041,16105,18652,21542,32486,57381
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,1024,1024,1024,12854230016,12552959,285033538,278356,214235252,3427764032,4750516,76008256,66919,60000536207,245766,71262587,4405,263,587,836,1317,1579,43517,74203
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,2048,2048,1024,25076258816,12244267,283027911,138198,417933869,6686941904,4717089,75473424,61990,60000542349,245767,70758024,21108,872,1111,1319,1696,3770,133374,319876
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,4096,4096,1024,40614055936,9915541,476837255,116418,676895446,10830327136,7947223,127155568,62009,60000486247,245770,119210636,7695,1166,1556,1765,2058,2869,25307,204691
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,8192,8192,1024,44942172160,5486105,344499687,42056,749027461,11984439376,5741594,91865504,62061,60000700205,246003,86125015,113553,1404,2658,3383,7476,305363,408984,506116
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,16384,16384,1024,45212041216,2759524,715701742,43685,753520339,12056325424,11928145,190850320,62067,60001089363,245770,178923541,8179,3324,4828,5230,5636,6906,18393,124727
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,32768,32768,1024,44815122432,1367649,719429328,21956,746889216,11950227456,11990015,191840240,61981,60002369113,245772,179858626,14497,8482,9619,10476,11643,14319,25567,182265
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,65536,65536,1024,46613463040,711265,799906961,12208,776843941,12429503056,13330974,213295584,61969,60003638474,245779,199980839,25671,11253,17808,19083,21016,24771,45364,241891
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,1024,1024,1024,11943610368,11663682,308955442,301716,199057476,3184919616,5149187,82386992,68063,60000812705,307210,61789979,1463,356,755,1104,1378,1670,2419,19999
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,2048,2048,1024,23215880192,11335879,272580581,133099,386927967,6190847472,4542970,72687520,62438,60000522420,307210,54518567,2836,1113,1886,2075,2423,3021,5559,29207
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,4096,4096,1024,44416798720,10843945,583970004,142573,740270134,11844322144,9732703,155723248,62555,60000797882,307212,116795168,6322,1216,1638,1835,2185,3056,11954,300565
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,8192,8192,1024,44739641344,5461382,758789987,92628,745644554,11930312864,12646226,202339616,62526,60001298332,307214,151756694,3937,1233,3038,3287,3520,3976,6073,30883
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,16384,16384,1024,45538623488,2779457,805555369,49170,758957588,12143321408,13425578,214809248,62541,60001539151,307214,161112810,7460,2953,5945,6289,6614,7437,11068,47815
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,32768,32768,1024,46503559168,1419176,770704480,23523,775028306,12400452896,12844560,205512960,62389,60002400948,307217,154141506,15934,2081,11468,12190,13533,16656,28406,85081
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,65536,65536,1024,44127813632,673337,719977827,10990,735429190,11766867040,11999069,191985104,62600,60002804107,307221,143995030,30322,8103,23196,25460,27355,30897,46936,73828
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,1024,1024,1024,5531987968,5402332,433501,424,92199347,1475189552,7224,115584,63944,60000293913,61441,433501,131912,41244,120620,126600,131741,137470,143277,159486
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,2048,2048,1024,9782149120,4776440,757041,370,163035096,2608561536,12617,201872,60604,60000265637,61441,757041,156161,94002,144734,148948,154349,163704,170866,174081
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,4096,4096,1024,12541079552,3061787,971638,238,209016885,3344270160,16193,259088,60540,60000317816,61441,971638,244997,51336,237072,240989,245114,249241,253371,263701
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,8192,8192,1024,15548481536,1898008,1203091,147,259138897,4146222352,20051,320816,60550,60000569866,61441,1203091,398133,334190,388893,393155,398378,403727,407955,413028
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,16384,16384,1024,16888119296,1030769,1306152,80,281464985,4503439760,21768,348288,60519,60000782256,61441,1306152,733619,517712,719247,726403,735284,744237,751380,756305
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,32768,32768,1024,17350852608,529506,1341946,41,289173358,4626773728,22365,357840,60621,60001560024,61442,1341946,1430947,1332862,1400865,1414585,1431702,1448915,1462636,1469769
SpikeDetection,kernels/sdlh1111/hw/build/sdlh.xclbin,1,1,1,1,8,8,65536,65536,1024,17615421440,268790,1362406,21,293577960,4697247360,22705,363280,60604,60002533599,61443,1362406,2800170,2174977,2759462,2786343,2820245,2853971,2881061,2892134
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,1024,1024,1024,10188493824,9949701,199250778,194581,169807306,2716916896,3320828,53133248,65116,60000326615,122882,99515243,4862,102,238,653,1054,5728,22514,62891
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,2048,2048,1024,15907928064,7767543,194736887,95087,265130297,4242084752,3245592,51929472,60943,60000415794,122883,97336922,2658,412,660,966,1804,2447,4639,150366
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,4096,4096,1024,24282267648,5928288,233884991,57101,404701751,6475228016,3898057,62368912,61011,60000401617,122882,116948954,4527,1058,1230,1349,2167,7790,11155,28992
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,8192,8192,1024,26369359872,3218916,160223982,19560,439485534,7031768544,2670376,42726016,61054,60000518312,122883,80110472,8130,2608,3477,6225,6474,6742,21913,97225
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,16384,16384,1024,31972982784,1951476,88375419,5395,532874511,8525992176,1472900,23566400,61038,60000961018,122883,44188135,488384,1007,6635,12169,378911,1005605,1154266,1192728
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,32768,32768,1024,33680424960,1027845,123526016,3770,561323461,8981175376,2058704,32939264,61054,60001812261,122884,61762790,626361,12600,14537,15176,754983,1105258,1902362,1966476
SpikeDetection,kernels/sdlh2222/hw/build/sdlh.xclbin,2,2,2,2,8,8,65536,65536,1024,34594422784,527869,270133011,4122,576547478,9224759648,4502011,72032176,61023,60002730218,122886,135065573,237480,25363,26548,27463,27568,27707,3065523,3182087
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,1024,1024,1024,11935345664,11655611,282965300,276334,198920758,3182732128,4716048,75456768,65778,60000503350,184401,94321664,5450,208,385,625,1059,1506,6425,232343
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,2048,2048,1024,22273488896,10875727,296916737,144980,371220800,5939532800,4948558,79176928,61461,60000648887,184325,98969285,9785,598,793,1093,1349,2072,28188,270824
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,4096,4096,1024,35612672000,8694500,326714617,79766,593539389,9496630224,5445196,87123136,61437,60000519939,184325,108903363,3579,1219,1575,1812,2455,3584,5863,73481
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,8192,8192,1024,42888077312,5235361,429527972,52435,714793746,11436699936,7158723,114539568,61427,60000633090,184326,143180206,35488,712,2220,2757,3659,5776,468769,593510
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,16384,16384,1024,44641845248,2724722,386079282,23566,744018991,11904303856,6434552,102952832,61479,60000948596,184326,128692667,161879,1018,3981,4820,8396,226222,725966,871725
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,32768,32768,1024,42220781568,1288476,723855754,22092,703660017,11258560272,12063925,193022800,61422,60001677640,184328,241280178,9591,3307,7771,8535,9093,10038,11405,49944
SpikeDetection,kernels/sdlh3333/hw/build/sdlh.xclbin,3,3,3,3,8,8,65536,65536,1024,43377164288,661883,557857576,8514,722939534,11567032544,9297456,148759296,61527,60001095803,184326,185953807,23227,9671,15433,21263,23063,24657,32466,66695
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,1024,1024,1024,12539770880,12245870,343621949,335570,208994743,3343915888,5726993,91631888,66832,60000412839,245879,85917331,1598,285,526,764,923,1355,4245,114180
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,2048,2048,1024,26335877120,12859315,266151916,129960,438925867,7022813872,4435810,70972960,62032,60000740617,245767,66537506,14283,896,1202,1518,1950,2948,72162,282509
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,4096,4096,1024,39240781824,9580269,423245608,103334,653978369,10463653904,7053719,112859504,61961,60003180017,245766,105812320,4466,1106,1597,1928,2322,3865,12023,105078
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,8192,8192,1024,45509279744,5555332,548694670,66982,758479139,12135666224,9144804,146316864,62086,60000700572,245767,137176810,10370,2028,2631,2927,3575,6455,59534,228605
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,16384,16384,1024,42629906432,2601923,683521628,41720,710480762,11367692192,11391743,182267888,61931,60001492907,245768,170875874,8471,3662,5157,5576,6040,7254,15903,143987
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,32768,32768,1024,45514129408,1388981,748159460,22833,758541681,12136666896,12468878,199502048,61962,60002146884,245772,187034020,13852,4369,9187,9990,11030,14245,23131,132966
SpikeDetection,kernels/sdlh4444/hw/build/sdlh.xclbin,4,4,4,4,8,8,65536,65536,1024,46700429312,712592,809517927,12356,778299943,12452799088,13491262,215860192,61913,60003125672,245776,202376671,24844,2980,17900,19151,20665,24514,47342,139506
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,1024,1024,1024,12519204864,12225786,334897123,327051,208651208,3338419328,5581559,89304944,67789,60000634459,307423,66977973,1400,331,717,1022,1259,1605,2034,34521
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,2048,2048,1024,26401695744,12891453,299875954,146426,440024302,7040388832,4997887,79966192,62481,60000539930,307214,59974794,3468,1113,1584,1992,2109,2867,7223,41271
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,4096,4096,1024,46256627712,11293122,626591803,152979,770934244,12334947904,10443067,167089072,62503,60000743311,307208,125323755,5971,1254,1603,1777,2024,2673,16037,177355
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,8192,8192,1024,44955607040,5487745,764568502,93333,749248737,11987979792,12742614,203881824,62560,60000911324,307210,152914344,4119,1005,3024,3248,3496,3987,6658,38046
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,16384,16384,1024,43251695616,2639874,747607765,45633,720843144,11533490304,12459810,199356960,62523,60001535623,307214,149519202,8510,1815,6173,6594,7069,8039,14464,81666
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,32768,32768,1024,45977272320,1403115,829400209,25315,766252570,12260041120,13822700,221163200,62448,60002764201,307217,165877495,16636,4267,11492,12162,12795,14054,22371,225796
SpikeDetection,kernels/sdlh5555/hw/build/sdlh.xclbin,5,5,5,5,8,8,65536,65536,1024,47026077696,717561,849461578,12965,783716157,12539458512,14156757,226508112,62540,60003966038,307224,169894940,28265,11118,22465,23691,24850,28085,43458,116389
